code,name,type
WELF90013,Leadership in Adolescent Health,Requisites apply | Subject
EDUC91091,Primary Humanities Education,Subject
EDUC91057,Early Childhood Multimodal Literacies,Subject
GEND30005,Gender Diversity in the Workplace,Subject
ACCT90020,Management Accounting Research,Subject
SCRN40013,"Censorship: Film, Art and Media",Subject
LING40015,LAL Thesis Part 1,Requisites apply | Subject
LAWS90130,Tax Administration,Quotas apply | Requisites apply | Subject
LAWS90310,International Sports Dispute Resolution,Quotas apply | Subject
ABPL90385,Applied Heritage Conservation Techniques,Quotas apply | Requisites apply | Subject
PROP20002,Design and Property Principles,Requisites apply | Subject
GERM30004,German 10,Requisites apply | Subject
LAWS70469,Construction Law,Requisites apply | Subject
MGMT30013,Managing for Competitive Advantage,Requisites apply | Subject
EDUC91124,Learning Area Biology 2,Requisites apply | Subject
EDUC91086,Mathematics Education: Primary 3,Requisites apply | Subject
ACTL40004,Advanced Financial Mathematics,Requisites apply | Subject
MAST30022,Decision Making,Requisites apply | Subject
ECOM90007,Macroeconometrics,Requisites apply | Subject
DEVT90080,Gender Analysis in Development Practice,Subject
NEUR30006,Real and Artificial Neural Networks,Requisites apply | Subject
GEOG90026,Global Climate Change In Context,Quotas apply | Subject
PHYC90034,Physics Research Project Pt 2,Subject
SCWK90050,Supervised Field Placement 2A,Requisites apply | Subject
FREN20016,French and Francophone Cultural Studies,Requisites apply | Subject
BMEN90037,Bioengineering Data Analytics,Requisites apply | Subject
AGRI90081,Minor Research Project Part 2,Requisites apply | Subject
POLS90035,Great Power Politics,Subject
LAWS70140,Accounting for Commercial Lawyers,Quotas apply | Subject
BUSA90046,Corporate Finance,Quotas apply | Requisites apply | Subject
PSYC30022,Trends in Personality& Social Psychology,Subject
CHEM20018,Chemistry: Reactions and Synthesis,Requisites apply | Subject
CMCE20001,Commerce Internship,Requisites apply | Subject
COMP10003,Media Computation,Subject
EDUC20071,Cultural Analysis of Exchange Studies,Requisites apply | Subject
DPSS10007,The History of Cool: Fashion & Attitude,Subject
SOCI90004,Critical Social Policy,Requisites apply | Subject
LAWS90023,International Law and Geopolitics,Quotas apply | Requisites apply | Subject
LAWS50064,Employment Law,Quotas apply | Requisites apply | Subject
LAWS70368,Law of Intergovernmental Relations,Quotas apply | Requisites apply | Subject
PHYC40009,Physics Research Project Pt1,Requisites apply | Subject
POPH90283,Epidemiology Research Project Part 2,Requisites apply | Subject
ANTH20016,"Crisis, Culture and Resistance",Subject
AGRI10052,Agricultural Genetics,Subject
CRIM40008,Criminology Thesis Part 1,Requisites apply | Subject
PPMN90006,The Principles of Public Management,Requisites apply | Subject
